text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 21:05:24;FALSE;;1304526479787659264;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;Indie_chomsky;162;TRUE;FALSE;;
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 21:05:02;FALSE;;1304526388502822912;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;nand_bo;162;TRUE;FALSE;;
RT @BeastiesForever: #TheFurnace
Thanks to its harsh landscapes, rough characters, tough stories, perfectly represented and real, it moves…;FALSE;0;;2020-09-11 21:04:36;FALSE;;1304526277869801474;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;CWloba221;9;TRUE;FALSE;;
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 21:03:20;FALSE;;1304525958616166407;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;YannBreheret;162;TRUE;FALSE;;
RT @askyfullofCate: That's all I could do.
#CateBlanchett 
#Venezia77 https://t.co/y2ssBHUCOg;FALSE;0;;2020-09-11 21:03:19;FALSE;;1304525956766404609;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;moorechett;33;TRUE;FALSE;;
#venezia77 
Day 11 

Nomadland... what a movie! Great job, Frances McDormand and Chloé Zhao!
“Crazy, Not Insane” wa… https://t.co/og9WXzNIwD;FALSE;3;;2020-09-11 20:59:19;TRUE;;1304524951110725632;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;maggiearg94;0;FALSE;FALSE;;
RT @blanchettheart: How not to love her? <U+0001F5A4>
Another gift from Greg Williams. #CateBlanchett #Venezia77 https://t.co/69zJvgMRk6;FALSE;0;;2020-09-11 20:58:40;FALSE;;1304524785188139008;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;RADARISMA;74;TRUE;FALSE;;
RT @askyfullofCate: That's all I could do.
#CateBlanchett 
#Venezia77 https://t.co/y2ssBHUCOg;FALSE;0;;2020-09-11 20:57:56;FALSE;;1304524602257801216;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;RADARISMA;33;TRUE;FALSE;;
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 20:52:42;FALSE;;1304523282201284608;;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;skc89;162;TRUE;FALSE;;
RT @Cinelais: We gave Chaitanya Tamhane's THE DISCIPLE the @FIPRESCI International Critics Prize, something I've been wanting to do since w…;FALSE;0;;2020-09-11 20:47:52;FALSE;;1304522070005604352;;<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>;vmanikand;162;TRUE;FALSE;;
